mt_id,x,y,density,mt,t_seconds,mt_length,deltaR_um
2_250,204.531,267.281,250,2,156,5.2204,1.364643616
2_250,203.406,262.125,250,2,158,5.2204,1.055461245
2_250,200.5,257.125,250,2,160,5.2204,1.156630209
2_250,199.406,253.031,250,2,162,5.2204,0.84752987
2_250,196.875,248.281,250,2,164,5.2204,1.076447138
2_250,194.812,242.844,250,2,166,5.2204,1.163046654
2_250,190.188,238,250,2,168,5.2204,1.339338822
2_250,187.062,233.156,250,2,170,5.2204,1.15301712
2_250,183.062,229.031,250,2,172,5.2204,1.149184493
2_250,179.375,225.875,250,2,174,5.2204,0.970655552
2_250,174.938,221.969,250,2,176,5.2204,1.182265706
2_250,170.875,218.031,250,2,178,5.2204,1.131650352
2_250,165.75,214.844,250,2,180,5.2204,1.207022684
2_250,163,211.219,250,2,182,5.2204,0.910013736
2_250,159.031,208.219,250,2,184,5.2204,0.995046954
2_250,154.844,206.5,250,2,186,5.2204,0.905227706
2_250,151.906,204.281,250,2,188,5.2204,0.736364176
2_250,148.469,200.812,250,2,190,5.2204,0.976666371
2_250,144,196.281,250,2,192,5.2204,1.272822407
2_250,141.031,192.281,250,2,194,5.2204,0.996292347
2_250,138.906,188.281,250,2,196,5.2204,0.905883547
2_250,135.375,183.969,250,2,198,5.2204,1.114653399
2_250,133.219,179.906,250,2,200,5.2204,0.91991967
3_250,786.938,19.062,250,3,2,12.7752,0
3_250,788.875,23.125,250,3,4,12.7752,0.900220817
3_250,790.5,27.938,250,3,6,12.7752,1.015984134
3_250,793.375,34,250,3,8,12.7752,1.341841555
3_250,796,39.25,250,3,10,12.7752,1.173935688
3_250,796.625,45.25,250,3,12,12.7752,1.206492851
3_250,797.938,49.188,250,3,14,12.7752,0.830224379
3_250,798.375,55.312,250,3,16,12.7752,1.227914411
3_250,798.875,60.062,250,3,18,12.7752,0.955248659
3_250,799.438,63.375,250,3,20,12.7752,0.672099338
3_250,804.75,67.75,250,3,22,12.7752,1.37634253
3_250,805.938,76.375,250,3,24,12.7752,1.741286524
3_250,805.25,81.333,250,3,26,12.7752,1.001101553
3_250,805.417,86.167,250,3,28,12.7752,0.967376762
3_250,803.917,92.25,250,3,30,12.7752,1.253042521
3_250,804.583,96.417,250,3,32,12.7752,0.843977369
3_250,804.917,102,250,3,34,12.7752,1.118596353
3_250,804.562,107,250,3,36,12.7752,1.002517332
3_250,805.688,112,250,3,38,12.7752,1.025043921
3_250,805.125,118,250,3,40,12.7752,1.205271239
3_250,804.188,120.812,250,3,42,12.7752,0.592800574
3_250,808.688,128.125,250,3,44,12.7752,1.717323138
3_250,809.562,134.188,250,3,46,12.7752,1.225134197
3_250,814.625,139.125,250,3,48,12.7752,1.414325818
3_250,817.688,144.062,250,3,50,12.7752,1.161997212
3_250,818.562,148.125,250,3,52,12.7752,0.831188186
3_250,820.75,154.062,250,3,54,12.7752,1.265469288
3_250,822.375,159,250,3,56,12.7752,1.039701284
3_250,824.625,164.312,250,3,58,12.7752,1.153773704
3_250,827.292,169.958,250,3,60,12.7752,1.248842744
3_250,829.292,175.083,250,3,62,12.7752,1.100284054
3_250,831.375,180.042,250,3,64,12.7752,1.075742906
3_250,833.917,186.25,250,3,66,12.7752,1.341656111
3_250,835.708,192.083,250,3,68,12.7752,1.220353555
3_250,836.417,198.042,250,3,70,12.7752,1.200206016
3_250,838.25,203.125,250,3,72,12.7752,1.080680859
3_250,839.5,208,250,3,74,12.7752,1.006541107
3_250,840.583,213.042,250,3,76,12.7752,1.031400078
3_250,843.333,220,250,3,78,12.7752,1.496345735
3_250,844.833,225.083,250,3,80,12.7752,1.0599413
3_250,847.542,229.167,250,3,82,12.7752,0.980157885
3_250,848.417,235,250,3,84,12.7752,1.179652729
3_250,848.312,239.938,250,3,86,12.7752,0.987823243
3_250,848.938,244.938,250,3,88,12.7752,1.007807045
3_250,849.312,251.062,250,3,90,12.7752,1.227081937
3_250,849.917,256,250,3,92,12.7752,0.994984804
3_250,849.25,260.833,250,3,94,12.7752,0.975761815
3_250,849.5,266,250,3,96,12.7752,1.034608892
3_250,848.188,271.062,250,3,98,12.7752,1.045852533
3_250,849.375,276.75,250,3,100,12.7752,1.162106931
3_250,846.562,282.188,250,3,102,12.7752,1.224496844
3_250,843.5,287.75,250,3,104,12.7752,1.269829721
3_250,841.875,291.938,250,3,106,12.7752,0.898442408
3_250,839.75,297.042,250,3,108,12.7752,1.105738504
3_250,837.25,302,250,3,110,12.7752,1.110527154
3_250,833.208,307.083,250,3,112,12.7752,1.298840298
3_250,829,310.875,250,3,114,12.7752,1.132899431
3_250,825.833,315.042,250,3,116,12.7752,1.046781314
3_250,822.125,320.208,250,3,118,12.7752,1.271799041
3_250,819.583,323.083,250,3,120,12.7752,0.767525609
3_250,814.958,327.708,250,3,122,12.7752,1.308147545
3_250,811.833,332.083,250,3,124,12.7752,1.075290658
3_250,806.125,336.292,250,3,126,12.7752,1.418406782
3_250,803.25,338.125,250,3,128,12.7752,0.68192416
